customer_id,profile,priority,items,payment_method,arrival_time_s,service_start_s,service_end_s,wait_time_s,service_time_s,total_time_s,arrival_hour,total_revenue_clp,cart_categories,cart_category_revenue_clp,cart_items,total_profit_clp,cart_category_profit_clp,lane_name,lane_type,queue_request_priority,patience_s,outcome,balk_reason,abandon_reason
1,regular,no_priority,12,card,55.18434992773057,55.18434992773057,149.95959355326033,0.0,94.77524362552975,94.77524362552975,8,23500,"{""produce"": 2, ""grocery"": 4, ""meat"": 0, ""dairy"": 1, ""bakery"": 1, ""beverages"": 0, ""household"": 2, ""personal_care"": 0, ""frozen"": 1, ""prepared"": 1, ""other"": 0}","{""produce"": 1900, ""grocery"": 7100, ""meat"": 0, ""dairy"": 1500, ""bakery"": 1100, ""beverages"": 0, ""household"": 4800, ""personal_care"": 0, ""frozen"": 2200, ""prepared"": 4900, ""other"": 0}",,2870,"{""produce"": 190, ""grocery"": 640, ""meat"": 0, ""dairy"": 150, ""bakery"": 150, ""beverages"": 0, ""household"": 620, ""personal_care"": 0, ""frozen"": 290, ""prepared"": 830, ""other"": 0}",regular-1,regular,1,412.5959261576906,served,,
2,regular,no_priority,25,card,83.54316359294981,83.54316359294981,307.117843964052,0.0,223.57468037110215,223.57468037110218,8,84000,"{""produce"": 2, ""grocery"": 2, ""meat"": 3, ""dairy"": 1, ""bakery"": 0, ""beverages"": 2, ""household"": 3, ""personal_care"": 3, ""frozen"": 0, ""prepared"": 8, ""other"": 1}","{""produce"": 2000, ""grocery"": 3600, ""meat"": 25400, ""dairy"": 1300, ""bakery"": 0, ""beverages"": 1600, ""household"": 8700, ""personal_care"": 12500, ""frozen"": 0, ""prepared"": 28600, ""other"": 300}",,10890,"{""produce"": 200, ""grocery"": 330, ""meat"": 2040, ""dairy"": 130, ""bakery"": 0, ""beverages"": 200, ""household"": 1120, ""personal_care"": 2000, ""frozen"": 0, ""prepared"": 4840, ""other"": 30}",regular-2,regular,1,428.9833079662683,served,,
3,express_basket,no_priority,13,card,97.77832162269047,97.77832162269047,239.33180320091918,0.0,141.5534815782287,141.5534815782287,8,25200,"{""produce"": 1, ""grocery"": 0, ""meat"": 0, ""dairy"": 0, ""bakery"": 0, ""beverages"": 7, ""household"": 0, ""personal_care"": 1, ""frozen"": 2, ""prepared"": 2, ""other"": 0}","{""produce"": 700, ""grocery"": 0, ""meat"": 0, ""dairy"": 0, ""bakery"": 0, ""beverages"": 12100, ""household"": 0, ""personal_care"": 2200, ""frozen"": 4700, ""prepared"": 5500, ""other"": 0}",,3410,"{""produce"": 70, ""grocery"": 0, ""meat"": 0, ""dairy"": 0, ""bakery"": 0, ""beverages"": 1450, ""household"": 0, ""personal_care"": 350, ""frozen"": 610, ""prepared"": 930, ""other"": 0}",regular-10,regular,1,270.41522341550746,served,,
4,family_cart,no_priority,78,cash,145.2231615949632,145.2231615949632,406.0309791402799,0.0,260.8078175453167,260.8078175453167,8,161300,"{""produce"": 11, ""grocery"": 8, ""meat"": 6, ""dairy"": 20, ""bakery"": 6, ""beverages"": 4, ""household"": 10, ""personal_care"": 4, ""frozen"": 4, ""prepared"": 2, ""other"": 3}","{""produce"": 11100, ""grocery"": 14300, ""meat"": 36100, ""dairy"": 23000, ""bakery"": 5800, ""beverages"": 4600, ""household"": 23700, ""personal_care"": 17400, ""frozen"": 9500, ""prepared"": 9500, ""other"": 6300}",,18410,"{""produce"": 1110, ""grocery"": 1290, ""meat"": 2890, ""dairy"": 2300, ""bakery"": 800, ""beverages"": 560, ""household"": 3090, ""personal_care"": 2770, ""frozen"": 1230, ""prepared"": 1610, ""other"": 760}",regular-5,regular,1,748.890608708685,served,,
5,express_basket,no_priority,1,card,216.47359247466187,216.47359247466187,244.59647129567554,0.0,28.122878821013657,28.12287882101367,8,2200,"{""produce"": 0, ""grocery"": 0, ""meat"": 0, ""dairy"": 0, ""bakery"": 0, ""beverages"": 0, ""household"": 0, ""personal_care"": 0, ""frozen"": 0, ""prepared"": 1, ""other"": 0}","{""produce"": 0, ""grocery"": 0, ""meat"": 0, ""dairy"": 0, ""bakery"": 0, ""beverages"": 0, ""household"": 0, ""personal_care"": 0, ""frozen"": 0, ""prepared"": 2200, ""other"": 0}",,380,"{""produce"": 0, ""grocery"": 0, ""meat"": 0, ""dairy"": 0, ""bakery"": 0, ""beverages"": 0, ""household"": 0, ""personal_care"": 0, ""frozen"": 0, ""prepared"": 380, ""other"": 0}",express-1,express,1,24.63883317075143,served,,
6,express_basket,no_priority,4,card,287.0060042874462,287.0060042874462,316.619530251093,0.0,29.61352596364681,29.613525963646794,8,5500,"{""produce"": 0, ""grocery"": 0, ""meat"": 0, ""dairy"": 0, ""bakery"": 1, ""beverages"": 1, ""household"": 0, ""personal_care"": 1, ""frozen"": 0, ""prepared"": 0, ""other"": 1}","{""produce"": 0, ""grocery"": 0, ""meat"": 0, ""dairy"": 0, ""bakery"": 1100, ""beverages"": 1800, ""household"": 0, ""personal_care"": 2300, ""frozen"": 0, ""prepared"": 0, ""other"": 300}",,780,"{""produce"": 0, ""grocery"": 0, ""meat"": 0, ""dairy"": 0, ""bakery"": 150, ""beverages"": 220, ""household"": 0, ""personal_care"": 370, ""frozen"": 0, ""prepared"": 0, ""other"": 40}",express-1,express,1,599.1450199421604,served,,
7,express_basket,no_priority,15,card,290.2147115203293,290.2147115203293,348.50864663236325,0.0,58.293935112034,58.29393511203398,8,47100,"{""produce"": 0, ""grocery"": 0, ""meat"": 0, ""dairy"": 1, ""bakery"": 2, ""beverages"": 0, ""household"": 0, ""personal_care"": 1, ""frozen"": 2, ""prepared"": 7, ""other"": 2}","{""produce"": 0, ""grocery"": 0, ""meat"": 0, ""dairy"": 2000, ""bakery"": 2400, ""beverages"": 0, ""household"": 0, ""personal_care"": 8000, ""frozen"": 7300, ""prepared"": 24500, ""other"": 2900}",,7310,"{""produce"": 0, ""grocery"": 0, ""meat"": 0, ""dairy"": 200, ""bakery"": 340, ""beverages"": 0, ""household"": 0, ""personal_care"": 1280, ""frozen"": 950, ""prepared"": 4190, ""other"": 350}",regular-8,regular,1,80.72015627208785,served,,
8,regular,no_priority,26,card,310.1797000166461,310.1797000166461,405.64142896837654,0.0,95.46172895173041,95.46172895173044,8,88600,"{""produce"": 4, ""grocery"": 3, ""meat"": 5, ""dairy"": 1, ""bakery"": 4, ""beverages"": 3, ""household"": 0, ""personal_care"": 0, ""frozen"": 1, ""prepared"": 4, ""other"": 1}","{""produce"": 5300, ""grocery"": 5500, ""meat"": 44400, ""dairy"": 1700, ""bakery"": 2500, ""beverages"": 3800, ""household"": 0, ""personal_care"": 0, ""frozen"": 1700, ""prepared"": 22100, ""other"": 1600}",,9750,"{""produce"": 530, ""grocery"": 500, ""meat"": 3560, ""dairy"": 170, ""bakery"": 360, ""beverages"": 460, ""household"": 0, ""personal_care"": 0, ""frozen"": 220, ""prepared"": 3760, ""other"": 190}",regular-4,regular,1,83.35494358670908,served,,
9,regular,no_priority,43,card,313.5841678589044,313.5841678589044,477.3435222076298,0.0,163.75935434872545,163.75935434872542,8,77900,"{""produce"": 2, ""grocery"": 14, ""meat"": 3, ""dairy"": 8, ""bakery"": 5, ""beverages"": 5, ""household"": 3, ""personal_care"": 0, ""frozen"": 0, ""prepared"": 2, ""other"": 1}","{""produce"": 2600, ""grocery"": 20300, ""meat"": 14900, ""dairy"": 10900, ""bakery"": 4800, ""beverages"": 7300, ""household"": 10600, ""personal_care"": 0, ""frozen"": 0, ""prepared"": 5600, ""other"": 900}",,8320,"{""produce"": 260, ""grocery"": 1820, ""meat"": 1190, ""dairy"": 1090, ""bakery"": 680, ""beverages"": 860, ""household"": 1370, ""personal_care"": 0, ""frozen"": 0, ""prepared"": 950, ""other"": 100}",regular-3,regular,1,88.3688180344807,served,,
10,weekly_planner,pregnant,46,card,362.92967514725837,362.92967514725837,551.8260642695864,0.0,188.896389122328,188.896389122328,8,100100,"{""produce"": 8, ""grocery"": 13, ""meat"": 3, ""dairy"": 5, ""bakery"": 0, ""beverages"": 3, ""household"": 6, ""personal_care"": 1, ""frozen"": 2, ""prepared"": 1, ""other"": 4}","{""produce"": 8600, ""grocery"": 22100, ""meat"": 27700, ""dairy"": 4800, ""bakery"": 0, ""beverages"": 3000, ""household"": 9500, ""personal_care"": 1300, ""frozen"": 7100, ""prepared"": 6700, ""other"": 9300}",,10540,"{""produce"": 860, ""grocery"": 2000, ""meat"": 2220, ""dairy"": 480, ""bakery"": 0, ""beverages"": 360, ""household"": 1230, ""personal_care"": 200, ""frozen"": 920, ""prepared"": 1140, ""other"": 1130}",regular-2,regular,1,655.1466849125095,served,,
